UID1,UID2
7840,8048
2199,3757
532,989
5828,6583
3205,6882
6749,7460
167,4841
1028,6181
2339,611
7405,8459
1325,5316
3371,5573
1820,6526
7400,7797
2432,6508
3996,4417
5618,613
1820,4862
2265,4443
6829,7477
7463,8080
3985,4158
7550,7727
1611,2926
7380,7442
3459,5788
2448,3295
7842,8163
2889,6945
4335,4961
4058,4212
1785,5373
7882,7989
2950,5266
3933,4347
2723,6585
2704,946
6788,8396
2926,3835
1343,2234
1,8290
4339,6656
4955,6686
2209,885
3767,5097
3692,4029
1541,976
7845,8860
7389,8325
6746,7884
1592,4980
3647,5867
1865,854
8251,8487
7094,7603
2735,2926
1713,6628
7458,7647
8183,8672
2135,6127
2702,5232
5362,6907
6774,8560
2500,750
1030,1191
5517,976
2889,818
237,5788
383,6480
3535,6543
4200,5757
7982,8294
2644,804
3852,5565
7544,8036
2129,4419
3287,6178
8017,8542
5685,6267
1855,5029
315,3262
7420,7709
7895,8229
358,5648
8047,8343
7779,8820
4616,5198
1279,2926
7327,8091
6718,7560
1820,4922
5733,6507
8134,8834
7471,7733
7850,8334
8433,8437
452,762
3464,3742
3971,620
1363,1476
4885,948
7472,7501
5404,6242
1330,2209
2962,3252
270,2701
4950,6127
7269,8507
804,8287
3248,3399
7758,8383
7546,7851
7374,7507
7350,7745
2341,6065
7622,7873
2621,3575
6744,8116
5131,989
7966,8021
7024,7591
130,2996
5250,5316
3050,3080
6754,8358
1543,431
6733,7689
7869,8770
2574,2944
7895,8342
8239,8648
6718,7138
3104,4643
4491,5718
2889,4182
7412,8788
2381,2386
8823,8841
7576,7804
3026,5385
3459,5071
8155,8822
3229,5799
3074,5180
4975,989
3176,5483
2605,5246
1699,636
8391,8565
2367,2938
8473,8806
7032,7351
1037,6452
406,5000
3384,3402
1783,5121
7964,8620
6031,6668
3287,4013
7201,7204
4953,5783
205,2996
2323,5552
1500,4921
6718,8313
5688,6681
7749,8195
2802,4855
7552,7967
7378,8449
1583,3459
4087,4147
2147,861
284,6227
3329,4205
2166,3127
2275,4826
4013,4356
7836,8493
3262,5123
2930,6896
3587,5867
2550,4965
3459,3682
3526,3882
4000,5867
2842,5226
7485,8544
7853,8059
7307,7495
145,4864
7483,7487
3828,5785
8216,8251
3669,4630
5103,5449
1481,5867
2913,5341
2438,2531
7328,8039
6809,7280
7693,7982
1536,4194
7622,8142
7250,8472
7122,7475
135,2708
2665,3139
321,647
3303,970
1182,16
6819,8842
5370,6051
3738,4436
7251,7855
5871,6554
7174,7360
5504,6633
2155,5435
2226,5148
7695,8456
7962,8692
6323,868
8141,8298
7165,8160
3179,989
3558,3574
7502,7612
7061,7518
7051,7550
1816,1817
457,6134
2673,5385
4013,4050
385,4900
3505,3613
7890,8623
6819,7575
210,6579
6748,7459
5129,6233
3442,6209
1611,3229
2242,5758
5580,755
2759,4029
8320,8437
2723,4206
3572,6889
2947,6654
1738,5458
5667,858
3668,5196
202,213
5476,5680
158,4184
7482,8637
4200,6663
