Source,Target,Type,Id,Label,Weight
1152,321,Undirected,17811,,1
7533,7791,Undirected,17812,,1
7442,8014,Undirected,17813,,1
8307,8802,Undirected,17814,,1
4207,604,Undirected,17815,,1
1743,3635,Undirected,17816,,1
3070,5185,Undirected,17817,,1
5191,5208,Undirected,17818,,1
2926,2943,Undirected,17819,,1
4416,6129,Undirected,17820,,1
2871,542,Undirected,17821,,1
3348,6296,Undirected,17822,,1
3063,5198,Undirected,17823,,1
4200,5671,Undirected,17824,,1
5150,5644,Undirected,17825,,1
8444,8449,Undirected,17826,,1
1846,6307,Undirected,17827,,1
2889,5528,Undirected,17828,,1
3204,3482,Undirected,17829,,1
266,5445,Undirected,17830,,1
2563,299,Undirected,17831,,1
1687,4620,Undirected,17832,,1
7269,7615,Undirected,17833,,1
3933,460,Undirected,17834,,1
8652,8796,Undirected,17835,,1
2228,527,Undirected,17836,,1
6264,6481,Undirected,17837,,1
6788,8040,Undirected,17838,,1
6802,8445,Undirected,17839,,1
1791,2952,Undirected,17840,,1
3559,3816,Undirected,17841,,1
1767,6513,Undirected,17842,,1
6497,981,Undirected,17843,,1
5221,6634,Undirected,17844,,1
3161,5768,Undirected,17845,,1
4852,5208,Undirected,17846,,1
7089,8521,Undirected,17847,,1
8448,8796,Undirected,17848,,1
6698,6707,Undirected,17849,,1
1280,4831,Undirected,17850,,1
6744,6819,Undirected,17851,,1
1696,1949,Undirected,17852,,1
7122,8472,Undirected,17853,,1
7378,8119,Undirected,17854,,1
5648,8288,Undirected,17855,,1
8079,8340,Undirected,17856,,1
2411,4001,Undirected,17857,,1
7694,7709,Undirected,17858,,1
8111,8124,Undirected,17859,,1
1329,4320,Undirected,17860,,1
2426,5990,Undirected,17861,,1
3234,6323,Undirected,17862,,1
7020,8126,Undirected,17863,,1
7918,8093,Undirected,17864,,1
5182,940,Undirected,17865,,1
1552,8260,Undirected,17866,,1
7850,8026,Undirected,17867,,1
2446,5652,Undirected,17868,,1
378,6508,Undirected,17869,,1
3777,4048,Undirected,17870,,1
3891,4481,Undirected,17871,,1
2511,4955,Undirected,17872,,1
7703,7704,Undirected,17873,,1
2924,654,Undirected,17874,,1
3518,4694,Undirected,17875,,1
4186,5867,Undirected,17876,,1
1789,4342,Undirected,17877,,1
6804,8767,Undirected,17878,,1
2716,2825,Undirected,17879,,1
2180,4698,Undirected,17880,,1
3251,4333,Undirected,17881,,1
412,983,Undirected,17882,,1
3226,6914,Undirected,17883,,1
5940,750,Undirected,17884,,1
2889,5419,Undirected,17885,,1
7657,7921,Undirected,17886,,1
3126,3586,Undirected,17887,,1
1857,497,Undirected,17888,,1
4964,5578,Undirected,17889,,1
7062,8026,Undirected,17890,,1
4813,906,Undirected,17891,,1
3072,349,Undirected,17892,,1
5270,5736,Undirected,17893,,1
1661,6461,Undirected,17894,,1
4013,6098,Undirected,17895,,1
7029,7058,Undirected,17896,,1
4013,5431,Undirected,17897,,1
2838,3105,Undirected,17898,,1
213,2976,Undirected,17899,,1
4522,948,Undirected,17900,,1
2159,2219,Undirected,17901,,1
3806,6040,Undirected,17902,,1
5395,6214,Undirected,17903,,1
394,4080,Undirected,17904,,1
2,5208,Undirected,17905,,1
1624,2606,Undirected,17906,,1
3161,4415,Undirected,17907,,1
6711,8255,Undirected,17908,,1
4510,6301,Undirected,17909,,1
8825,8844,Undirected,17910,,1
8021,8623,Undirected,17911,,1
8637,8834,Undirected,17912,,1
7482,8304,Undirected,17913,,1
1635,6038,Undirected,17914,,1
4492,6068,Undirected,17915,,1
177,4220,Undirected,17916,,1
2575,2795,Undirected,17917,,1
7378,8621,Undirected,17918,,1
2322,4935,Undirected,17919,,1
2690,5353,Undirected,17920,,1
1743,6661,Undirected,17921,,1
2606,331,Undirected,17922,,1
1159,5182,Undirected,17923,,1
3251,4004,Undirected,17924,,1
2459,929,Undirected,17925,,1
3592,5778,Undirected,17926,,1
861,989,Undirected,17927,,1
265,5545,Undirected,17928,,1
7293,8409,Undirected,17929,,1
2648,3056,Undirected,17930,,1
2941,5697,Undirected,17931,,1
3642,5675,Undirected,17932,,1
3308,4694,Undirected,17933,,1
3023,4636,Undirected,17934,,1
4274,4720,Undirected,17935,,1
7302,7733,Undirected,17936,,1
6764,7072,Undirected,17937,,1
7161,8834,Undirected,17938,,1
3572,6924,Undirected,17939,,1
8806,8835,Undirected,17940,,1
4265,6937,Undirected,17941,,1
2440,5454,Undirected,17942,,1
3282,8282,Undirected,17943,,1
2358,5215,Undirected,17944,,1
2693,6844,Undirected,17945,,1
5035,5140,Undirected,17946,,1
3869,3930,Undirected,17947,,1
3464,4508,Undirected,17948,,1
6127,818,Undirected,17949,,1
1846,6914,Undirected,17950,,1
2702,3656,Undirected,17951,,1
3416,5781,Undirected,17952,,1
1181,4865,Undirected,17953,,1
264,6608,Undirected,17954,,1
7523,8832,Undirected,17955,,1
292,5760,Undirected,17956,,1
7137,7585,Undirected,17957,,1
5850,6914,Undirected,17958,,1
4235,6681,Undirected,17959,,1
8024,8209,Undirected,17960,,1
4094,4246,Undirected,17961,,1
4642,989,Undirected,17962,,1
7501,8569,Undirected,17963,,1
315,923,Undirected,17964,,1
3291,6681,Undirected,17965,,1
4220,6230,Undirected,17966,,1
7012,8566,Undirected,17967,,1
4922,943,Undirected,17968,,1
5856,893,Undirected,17969,,1
2521,989,Undirected,17970,,1
2448,759,Undirected,17971,,1
