UID1,UID2
1405,3500
1344,914
7361,7500
7750,8231
1210,646
3582,6094
2153,4183
5175,6553
7850,8843
1758,6445
7165,7339
3868,4179
1907,243
4129,4695
3690,5297
2784,5845
2578,654
2635,2644
3957,4232
2149,6288
6773,6987
4950,5638
2668,3101
3876,5029
503,999
1980,4806
4293,5182
2953,6411
3955,5867
3125,4935
1624,5307
4013,4278
7417,7830
1695,2441
4246,5662
7769,8671
5121,5743
6661,755
6742,8295
4044,6554
3210,4508
1184,652
8411,8414
5188,5204
7552,7815
5698,625
7371,8414
7161,8798
3418,4333
166,413
6745,8421
3356,3415
6983,7471
3771,4436
1953,5769
7696,8143
1439,3202
4235,6296
8583,8796
1163,6605
395,810
5692,6661
1750,6001
3674,4013
3334,6914
4333,832
6720,7602
3113,461
1188,989
4044,5044
4212,625
8472,8798
7556,8343
7791,8401
3080,5385
7283,7707
4128,8289
2668,4336
2321,498
2220,4442
5582,6934
2116,4950
3558,4814
4319,5252
2174,5385
121,2367
1263,3471
3095,5435
2346,4293
3273,479
1270,4928
2723,5753
7895,8342
321,999
1464,5208
2885,4401
7978,8341
2350,5150
7538,7545
7104,7599
3992,5867
7693,8017
7842,8623
2347,5200
1833,736
2277,2634
4622,4688
1186,1710
7858,7879
6803,8343
2215,3080
2445,5123
2448,611
5458,6411
1623,1820
2966,7182
7083,8781
7475,8526
7982,8294
1330,2606
4165,493
1371,1500
7361,8525
6702,8398
3886,5310
456,889
4955,4956
7022,7927
6911,7379
1458,3459
3365,3415
7350,8067
2669,5790
4119,6016
1857,497
1611,3228
1316,4642
2268,5171
3291,4508
3046,5389
8011,8079
3619,4332
3334,907
1523,5413
1041,3444
3348,4508
7158,8567
5552,6272
3115,446
7850,7976
1162,1637
7122,8593
4792,5457
1407,8826
7934,8335
4868,5219
3819,3929
7442,7966
2582,6309
8560,8855
6472,989
232,4324
315,3262
1269,1949
3291,5511
7290,7486
7119,7381
3348,5511
1584,6956
7828,8569
4003,656
7397,7616
3352,4377
7903,8184
119,2934
7336,8067
3179,989
8019,8190
2605,4467
1035,415
1491,5332
2705,2775
5987,802
210,826
1770,2835
3926,913
5001,6293
3399,3731
7862,8492
2564,2919
1624,943
2926,4890
1357,6900
2531,3970
415,6618
4039,5160
2543,6859
3697,856
1793,5867
3009,5208
7115,8154
2591,3988
8223,8666
7523,8189
4614,5946
1642,5461
4966,662
2481,5401
8394,8827
1725,2924
4384,4823
3409,4006
4061,4158
3710,4333
1982,445
1752,2981
4962,5566
5544,6194
457,4689
6773,7520
5042,910
3838,555
7322,7946
7811,8780
7554,8578
1434,1892
367,3887
2804,4514
378,5652
1024,6471
2323,4029
7055,7098
1716,3103
5208,6458
6994,7381
7315,8645
2386,5260
2644,804
6696,6707
7943,7982
2323,8282
3043,5208
7718,8038
4112,6937
3254,4963
3296,5940
3229,4664
1795,4212
1570,5395
1797,5682
7967,8021
6699,8472
2448,3976
7910,8542
1799,804
1475,3901
7451,8583
2668,3416
1374,6513
166,5531
4852,72
1207,6639
7163,7350
489,6188
4013,4422
1438,3046
2199,545
7015,7506
7751,8109
3090,4902
4365,6184
6706,7480
2759,3844
3871,6633
3474,3490
7017,7532
6031,6150
7386,8647
2333,4158
6986,8030
1774,5530
2635,4868
3550,6918
3299,4187
4013,6075
7413,7982
4202,5940
7381,7758
7537,7795
3648,5928
6744,8141
459,4956
3668,5281
6070,6619
936,999
343,401
5035,5779
1365,6323
5691,5867
7025,7509
3627,461
7000,8120
3615,5825
2127,3383
2679,4868
2540,5638
5216,5774
6816,8141
7269,8455
620,6960
1818,6005
334,751
4922,6497
2872,4320
8096,8569
8473,8806
1738,2718
348,875
146,530
3352,5779
2240,4469
2532,4956
3080,5367
3246,3640
3795,5103
2545,4206
4889,5000
7468,7739
1371,2668
5121,6067
8264,8496
7694,7712
1211,1713
3060,3079
6665,927
406,5639
7817,8648
3846,6505
8397,8406
1730,4220
7593,7822
7575,8298
1892,5192
287,856
3072,434
4688,6497
7021,7939
7026,7731
8062,8100
7833,8664
111,2868
457,4942
1016,3681
284,4827
111,3005
1635,6038
6593,6888
4235,6681
6989,7296
3406,4561
2189,2759
3662,6593
3221,4212
2471,6543
1556,5665
1892,72
2635,8289
3488,4013
647,999
7446,7758
8072,8228
1570,6053
3168,6554
6712,8612
1438,6495
6786,7069
2832,5242
1437,5179
5205,6123
3737,3924
5674,6602
1439,725
3597,4427
7470,8504
3329,4204
1327,2198
25,545
1161,5182
7893,8530
6208,706
2481,4013
2781,4864
539,923
7087,8443
4293,4617
1344,2154
7193,7894
3152,989
7432,8802
2579,7416
3986,5840
2527,3371
121,2386
448,641
7394,8503
1785,2256
3360,5680
397,6085
7000,8237
2503,630
1785,3862
8525,8804
3660,6051
111,2995
4013,5005
7064,8010
7289,8057
6781,6989
6784,7900
6735,7689
2448,291
7165,8575
1716,2676
1719,2530
7469,7962
1712,2532
6816,7380
434,4643
2820,3668
377,457
2660,4333
4508,5120
2716,2825
1842,2513
2218,3806
2867,4320
960,962
3894,5946
5789,6237
1491,5732
7487,7493
7625,8161
7491,8143
5206,5385
3459,4360
6973,7713
5056,5850
6757,8341
6496,6709
1152,880
8483,8837
7356,8590
7832,8672
3129,4333
2600,6558
135,1903
299,4468
6823,7081
2409,5737
3303,5681
7010,8142
531,989
5150,5246
7385,7878
7099,8294
5156,989
7705,8445
4508,6062
4956,992
1214,5981
6833,7043
2600,3883
3275,4235
3897,5158
2338,989
3928,4333
1743,6165
5033,5494
1743,3790
3234,885
1167,6967
3573,4517
7533,8839
4375,6320
6817,8569
4212,6015
3262,4916
3156,485
4417,5001
3497,4382
171,4508
7141,7471
3585,3831
1276,4158
3761,4161
2704,946
3149,6962
2926,3668
544,5890
4272,5310
3125,6491
3626,755
4064,6846
880,923
4232,6814
4095,6247
1648,2386
1789,6276
1439,2952
3959,4082
7956,8148
2521,989
1696,2668
1272,7410
7962,8503
5123,6616
3774,4161
7737,8549
3708,5954
1365,4549
7995,8802
4417,5775
2489,3207
3446,5674
4278,6682
4158,4222
1170,912
3996,6214
8385,8575
7442,7501
7694,7830
3176,5483
3137,5513
3237,3839
2788,2889
7111,8258
1521,3682
8031,8075
7003,7903
4663,4688
2536,6969
2557,4121
6053,6214
3020,4329
3806,6871
7442,8116
3776,5527
379,5573
124,1624
3500,3556
4620,5461
2126,5272
1030,2147
315,647
2338,4276
2924,6589
4044,4417
499,5155
7253,8859
5395,5513
6704,6711
1953,8260
5410,6917
7463,8472
7284,7695
6806,7525
2926,6005
1207,2273
1798,6395
3421,5109
3543,870
1468,2346
3850,5524
6733,7690
1239,3229
3835,5781
1330,2605
6727,7165
2761,2777
168,5168
6731,7509
1401,3238
7161,8306
1716,5569
7460,8445
2438,5715
7061,7873
7856,8431
422,4500
7381,7446
7418,8249
352,4013
5714,662
1513,2458
8381,8531
1774,989
6639,728
6923,736
7174,7492
4337,6677
8179,8437
7505,8448
6695,8472
8085,8435
3128,3459
2738,5697
2240,2292
4611,5742
1181,5261
4049,7175
4206,638
1743,2591
1028,1845
2442,3356
6989,8138
7605,7830
6811,7165
7357,8127
7691,8655
3161,4009
3351,5050
6746,7386
7577,8536
758,897
4058,6297
2277,4091
3479,4039
1963,2559
6143,945
6758,927
3174,3407
6085,750
16,5179
2461,5669
2497,3456
1813,2763
3252,5292
2812,3202
8594,8796
1495,3670
2764,4310
4922,868
5402,781
4161,5719
1492,515
3416,5595
1638,4439
7697,7716
8361,8467
7485,7766
7389,7601
2488,4013
8454,8667
2448,3301
1607,509
7545,7982
4282,939
7100,7451
4206,5682
6795,7890
248,3008
8089,8251
2878,6899
2702,3656
4508,5117
7050,8455
7463,8834
2276,976
6817,8631
432,4955
3806,4804
4013,5482
1209,4199
2750,4013
3415,5893
2246,2390
3123,6267
1330,4726
5494,6271
489,840
5814,707
7555,8634
4966,518
3234,981
4688,868
1785,4060
6806,7478
2572,4898
2926,6229
8048,8501
8618,8808
3006,3024
1776,989
1514,3459
2380,2920
2715,2849
1207,2443
3693,5052
1343,5802
3252,5245
4657,5100
7501,7630
6829,8182
1743,443
7395,7812
1945,5204
292,6914
483,532
6796,8644
2778,5489
1846,6858
2292,498
1710,2431
7089,8521
1000,6058
4126,5867
2810,3202
155,3684
480,6134
5165,5786
2668,498
7320,8482
8806,8835
1460,2822
6269,6612
2889,4875
2351,2679
1821,4199
6997,7061
487,5581
331,5246
2442,976
2732,2736
3011,5384
8048,8094
7771,8153
290,3131
4986,769
3708,4508
2802,6605
124,3234
1896,23
4715,780
1785,2767
3933,821
4161,5499
7483,8806
3340,5481
1757,6677
7407,7473
2397,4235
1160,72
7563,8833
2224,4500
1897,314
3558,4397
2621,3219
3558,6540
6828,7118
1697,4013
8353,8492
163,6143
3869,5867
6745,7709
421,6094
1636,4643
4206,5471
2551,4950
2153,3838
7352,8370
1785,633
2993,3630
2559,2586
2135,2679
3535,6543
2591,4501
7842,7969
6005,6637
1784,3520
3235,948
8523,8777
7358,7378
4333,442
5334,780
2784,2889
2289,6625
6698,6711
4200,4892
7754,7844
1851,1859
2386,2774
6723,7421
6695,8257
5480,6214
3452,3776
3625,622
2149,5129
1239,2926
5787,6656
4533,5442
4013,6860
3308,4694
2275,989
1383,6553
3275,4508
1770,5528
2454,6304
2816,5288
1167,6592
3269,6564
4845,5208
7075,7477
3062,5385
8267,8808
7553,7769
2964,5331
7982,7990
7571,7749
4076,4560
1486,5112
4397,4526
257,5385
6813,7388
3275,5511
1512,3454
3163,4476
2846,2913
3095,402
7068,8365
3586,485
5538,6935
8320,8437
2143,4971
4508,618
7948,8009
3644,5213
1828,4468
4363,5035
1570,4044
6772,7955
8637,8798
1877,4670
4844,5208
5078,5120
1736,4013
4294,5531
7282,7992
284,6227
2448,6940
6785,8841
3445,5789
3224,4414
1191,2147
8311,8314
7293,8409
4095,5736
7944,8849
1671,2850
7563,8825
315,999
3098,5413
7494,8531
2233,4267
2141,4956
1488,6000
2209,4467
452,8826
3231,4953
7330,8600
4236,5808
3395,3416
1689,4144
1272,6324
1028,334
7128,7131
8029,8329
6812,8470
1499,5380
8208,8505
1797,334
3430,4333
1799,989
3234,5307
1785,317
6826,7775
7828,8564
6744,8298
7094,8543
4293,5389
4441,5423
2435,3819
6773,8559
4051,6600
2665,4927
5078,6062
7157,8591
265,5545
3698,4070
2157,3582
5211,5461
1218,4384
423,5427
4013,5339
1719,2135
6816,8298
238,4339
3245,4206
5648,7181
2123,3371
3996,5480
6791,8788
7738,8085
3835,4052
4333,6290
1315,4467
1624,4922
1188,1770
4669,6065
7967,8152
3405,830
246,6581
2852,5214
4819,6968
1653,3234
8083,8627
6745,7694
3127,3687
6981,7122
4321,5208
6825,8187
3406,4212
4033,544
8656,8846
7885,8535
548,5705
6729,7664
4469,4615
4235,4508
3082,5368
6693,7580
1512,1743
417,5589
7322,7867
1785,6214
1286,1568
4333,512
1726,6958
4674,5029
7565,8437
2240,2668
4235,5511
4334,6045
1570,4100
1777,4264
7559,8835
7027,8848
7643,7674
5519,6599
1495,4004
1743,5030
2825,5878
6725,8365
7689,7690
1685,4362
273,3627
1023,3309
1592,5845
2235,4664
210,3527
1837,386
2567,989
3080,5208
7533,8820
7942,8064
5709,989
6991,8656
3282,5552
3268,6269
7642,7970
3085,5208
2448,3175
3742,4508
6610,989
2436,6873
6718,8796
578,914
2333,3978
7822,8797
6756,8802
4008,5490
2876,948
5268,6896
4201,5867
7322,8082
4013,5599
4144,4699
386,5176
1213,509
6978,7681
1,804
3835,6962
3630,5490
2632,3259
142,4154
8141,8818
2284,5764
1473,3314
220,4147
3479,5575
2448,6083
7639,8234
3682,5640
2781,5230
7132,7903
325,6190
124,1761
7302,7758
2795,6865
6772,7520
4350,5867
1961,4535
7058,8270
3586,5565
4875,5845
4954,518
6707,8257
4505,5771
502,923
970,976
6962,724
4088,6614
6999,7408
1158,5367
25,2643
5190,6116
3456,5041
3817,5674
6301,6452
7703,8457
3234,943
2283,976
2716,2904
5478,6284
7696,8623
5192,5208
269,3365
6981,8525
5270,6220
2857,5231
4655,6321
3416,4203
5035,5774
6214,6225
7595,7884
7644,7869
6050,6390
3294,6953
3632,5337
2472,4333
7042,8402
1820,4467
1330,975
269,3356
1516,5426
2397,4508
7101,8215
7958,8554
526,6314
2584,4418
5828,5982
1820,4688
7471,8383
250,3046
8420,8442
6802,7707
2241,5532
3809,802
4085,5505
4561,629
3931,722
2213,3015
2397,5511
4130,4165
8087,8468
6497,921
7089,7475
7120,7572
1770,4620
7493,8133
412,4143
4964,5578
545,5471
3578,5029
7560,7572
8069,8107
271,538
1713,1833
2190,4891
3594,4233
2497,6919
3011,7
334,3496
4333,765
7289,7339
457,5310
4333,5790
1797,2411
7770,8858
7737,8540
3049,5202
6093,750
5255,6031
4347,5352
6794,8649
5333,5356
2469,5725
2926,5333
7693,8382
7616,8684
4994,658
1952,4129
1570,5272
4317,5345
4510,5684
2141,2511
3386,903
3294,3400
1043,2232
7443,8481
4076,5434
8844,8858
1743,4114
1621,6178
7044,8505
7298,8622
4493,5012
2926,4334
450,4750
6821,7739
7375,7892
7387,7674
5548,6034
3850,4013
1308,3638
2346,4617
3284,3335
3179,3222
1752,485
160,5048
3930,5867
7272,8246
7293,8169
6767,7895
2795,2945
7471,7810
263,5799
4013,807
8291,8499
2279,4821
2482,5867
4956,5462
5071,5986
2667,6869
3421,5404
459,5462
2738,2941
3346,907
3418,5106
4155,4998
309,4095
4196,6058
7371,7641
7710,7982
5221,6534
1664,5073
6695,6699
1757,4336
613,897
2547,3289
3364,4212
1829,2667
1531,3646
6995,7883
2448,4098
4437,750
3288,3396
6323,921
8226,8470
7301,7408
1829,3244
4088,6950
2367,5101
8008,8069
6804,7819
4082,6283
3900,4235
4048,4226
1969,2889
2253,3657
6605,6945
1829,6626
3360,4833
7138,8796
2270,5805
7302,7464
1762,2199
1569,3240
2648,3056
1653,1761
7754,8576
3582,5043
124,1820
1454,4095
213,6167
8470,8492
1644,2816
4347,4535
8567,8809
1624,4663
2889,6605
485,515
7559,8473
1358,2597
2508,5995
7101,8629
7123,7751
8425,8573
2791,5268
5344,6072
2830,2848
1006,6250
1817,578
1796,6664
6823,7558
2367,2938
7442,7670
7269,8214
1761,921
897,999
5743,6067
6736,8213
7525,7890
295,4516
4199,560
1500,4469
8552,8769
2574,3661
1360,2638
3898,4402
6718,7572
8122,8552
7463,8231
2141,4512
2866,6885
3839,5256
7842,8021
124,2386
3998,5867
4421,4441
285,4077
2143,6312
3642,5675
3431,3929
1167,2780
7039,7543
1785,4697
7063,8808
1147,190
2591,3635
5494,6240
7458,7850
4401,6198
6736,7490
7530,8079
3211,4699
4320,4553
3102,3630
5122,6242
4467,4688
7603,8543
3132,3544
2335,3438
3854,5228
1888,2651
3303,339
4282,938
4325,5208
1167,4816
2756,736
1881,2448
314,5888
6096,6683
2884,5986
5042,6480
1553,6934
4004,5790
2574,2944
122,3682
2621,925
1025,4165
3957,4334
5302,6596
3329,4205
7471,8841
4623,6533
7881,8191
5367,7379
1670,561
7502,7525
7558,7592
1624,6526
5867,616
1785,5480
1035,3211
1763,2514
5408,6888
5177,5207
5737,5903
7351,7352
111,2687
4013,4196
748,781
6982,8806
3536,6948
5502,5978
2791,2935
3709,4013
6986,8666
348,5871
111,887
4379,6284
4961,872
1329,2679
1481,4333
3771,5867
2456,4955
8257,8472
7809,8079
3408,435
2186,5310
6712,7019
7689,8468
2361,2774
