Author Name,Author ID,UID
r.,aiub_author_114,108
sajib,aiub_author_1140,121
mohammad,aiub_author_1141,32
hossain,aiub_author_1143,17
ara,aiub_author_1144,122
ara,aiub_author_1144,122
din,aiub_author_1145,123
tarek,aiub_author_1146,124
biswas,aiub_author_1147,125
sharafuddin,aiub_author_1148,126
faruque,aiub_author_1149,127
saikat,aiub_author_115,128
haque,aiub_author_1150,129
haque,aiub_author_1150,129
faruque,aiub_author_1151,127
sharafuddin,aiub_author_1152,126
hasan,aiub_author_1153,19
hossain,aiub_author_1154,17
ara,aiub_author_1155,122
ara,aiub_author_1155,122
biswas,aiub_author_1156,125
haque,aiub_author_1157,129
yasmin,aiub_author_1158,130
bin-faisal,aiub_author_1159,53
ratan,aiub_author_116,131
rahid,aiub_author_1160,132
foysal,aiub_author_1161,133
arupkumar,aiub_author_1162,134
shahidul,aiub_author_1163,135
shams,aiub_author_1165,136
hossain,aiub_author_1166,17
mahamud,aiub_author_1167,137
tehjib,aiub_author_1168,138
hossain,aiub_author_1169,17
farzana,aiub_author_117,139
pramanik,aiub_author_1170,140
akter1,aiub_author_1171,141
anowar,aiub_author_1172,142
michael,aiub_author_1174,143
connie,aiub_author_1175,144
hossain,aiub_author_1176,17
beg,aiub_author_1177,82
beg,aiub_author_1177,82
beg,aiub_author_1178,82
beg,aiub_author_1178,82
khan,aiub_author_1179,67
khan,aiub_author_1179,67
saydul,aiub_author_118,145
prosenjit,aiub_author_1180,146
prodan,aiub_author_1181,147
sheikh,aiub_author_1182,148
musaddiq,aiub_author_1183,149
yeasmin,aiub_author_1184,106
mahadi,aiub_author_1185,150
mostafa,aiub_author_1186,151
shahjalal,aiub_author_1187,152
chowdhury,aiub_author_1188,9
hanif,aiub_author_1189,153
zafril,aiub_author_119,154
nosheen,aiub_author_1190,155
saniat,aiub_author_1191,156
yunianto,aiub_author_1192,157
sohyun,aiub_author_1193,158
seokhun,aiub_author_1194,159
shamsuddin,aiub_author_1195,160
yang-kook,aiub_author_1196,161
zhang,aiub_author_1197,162
jacky,aiub_author_1198,163
xiao,aiub_author_1199,164
abdullah-al-jubair,aiub_author_12,165
muzahid,aiub_author_120,166
alamgir,aiub_author_1200,167
zhen,aiub_author_1201,168
jacky,aiub_author_1202,163
xiao,aiub_author_1203,164
xiao,aiub_author_1203,164
yutian,aiub_author_1204,169
shuo,aiub_author_1205,170
siddiki,aiub_author_1206,171
nurnobi,aiub_author_1207,172
sultana,aiub_author_1208,173
yuan,aiub_author_1209,174
hossain,aiub_author_121,17
takashi,aiub_author_1210,175
ken-ichi,aiub_author_1211,176
elbayoumy,aiub_author_1212,177
yuting,aiub_author_1213,178
trombini,aiub_author_1214,179
masayoshi,aiub_author_1215,180
zhiyi,aiub_author_1216,181
mostafa,aiub_author_1217,151
mohamed,aiub_author_1218,182
naofumi,aiub_author_1219,183
ullah,aiub_author_122,184
laveet,aiub_author_1220,185
afroza,aiub_author_1221,186
ahmed,aiub_author_1222,5
ahmed,aiub_author_1222,5
saif,aiub_author_1223,187
