Author Name,Author ID
and Mohammad Monirujjaman Khan,nsu_author_243
Md. Fahim Inzamam Ul Haque,nsu_author_244
Sadia Sabina,nsu_author_245
Mehedi Hasan Anik,nsu_author_246
Mozammal Haque,nsu_author_247
Fazla Rabbi Sajid,nsu_author_248
Md. MobinHossain,nsu_author_249
Nazira Mukta,nsu_author_250
Nelima Akter,nsu_author_251
Tahia Tazin,nsu_author_252
Faria Soroni,nsu_author_253
Md. Tanvir Hossain,nsu_author_254
Mohammad Ismail Hossain,nsu_author_255
K. M. Shihab Hossain,nsu_author_256
Nafisa Shamim Rafa,nsu_author_257
Basma Binte Azmal,nsu_author_258
Ferdaus Ahmed,nsu_author_259
Zarin Tasnim,nsu_author_260
Masud Rana and Mohammad Monirujjaman Khan,nsu_author_261
Asif Rahman,nsu_author_262
Safiyatul Hoque,nsu_author_263
Md. Sakibe Ullah,nsu_author_264
Abdur Rab Dhruba and Mohammad Monirujjaman Khan,nsu_author_265
Nazifa Tasneem and Yakut Marzan,nsu_author_266
AKM Bahalul Haque; Ayman Muniat; Parisha Rafiq Ullah; Shimin Mushsharat,nsu_author_267
A K M Bahalul Haque,nsu_author_268
Md Rifat Hasan,nsu_author_269
Md. Oahiduzzaman Mondol Zihad,nsu_author_270
Md. Talat Mahmud,nsu_author_271
Md. Mujtabir Alam,nsu_author_272
Md. Ashik Amin et a.,nsu_author_273
Syeda Ramisa Masum,nsu_author_274
Syed Hasan Selim,nsu_author_275
Zubair Hossain,nsu_author_276
Dipta Voumick,nsu_author_277
Prince Deb,nsu_author_278
Abu Taher Tamim1,nsu_author_279
Halima Begum,nsu_author_280
Sumaiya Ashfaque Shachcho,nsu_author_281
Sifat Azad,nsu_author_282
Saddatul Alam,nsu_author_283
Md.Moniruzzaman,nsu_author_284
Tahia Tazin and Mohammad Monirujjaman Khan,nsu_author_285
Faria Soroni and Mohammad Monirujjaman Khan et al.,nsu_author_286
Saikat Chandra Das,nsu_author_287
Md Shahadat Bhuiyan,nsu_author_288
Md. Shariful Islam,nsu_author_289
Ratil H. Ashique,nsu_author_290
Anika Khanom,nsu_author_291
Mohammad Rezaul Islam,nsu_author_292
Md. Saiful Isalm,nsu_author_293
Md. Rezaul Kawser Talukder,nsu_author_294
SM Tanmoy Rahman Khan,nsu_author_295
Sami Bourouis and Mohammad Monirujjaman Khan,nsu_author_296
Safia Mehnaz,nsu_author_297
Antu Shaha,nsu_author_298
Md. Nayem,nsu_author_299
Tanjir Arafat,nsu_author_300
MD Anisur Zaman and Mohammad Monirujjaman Khan,nsu_author_301
Md. Ibtida Fahim,nsu_author_302
Nowshin Tabassum,nsu_author_303
Abrar Ahamed Habibullah,nsu_author_304
Aritra Sarker and Mohammad Monirujjaman Khan,nsu_author_305
Md Abu Obaidah,nsu_author_306
Sayeda Islam Nahid and Mohammad Monirujjaman Khan,nsu_author_307
Md. Abu Obaidah,nsu_author_308
Faria Soroni and Mohammad Monirujjaman Khan,nsu_author_309
Syed Safiul Arman,nsu_author_310
S.M. Shahidur Harun Rumy,nsu_author_311
forji Jahan,nsu_author_312
Tanijna Tanvin,nsu_author_313
Mariha Afroz,nsu_author_314
Nazia Hasan,nsu_author_315
Rezowana Akter,nsu_author_316
Jahid Khandaker,nsu_author_317
Shakil Ahmed,nsu_author_318
Muhtasim Munem Mugdho,nsu_author_319
Shawan Shurid,nsu_author_320
Afsana Tasnim,nsu_author_321
Md. Shadman Sadique,nsu_author_322
Abu Sayem Mohammad Asaduzzaman,nsu_author_323
Tabia Hossain,nsu_author_324
Aritra Sarker,nsu_author_325
Fazle Rabbi Mithun,nsu_author_326
Tasnova Tabassum,nsu_author_327
Md Adnan Chowdhury,nsu_author_328
Sonia Tasmin,nsu_author_329
Ahmed Rohani Islam,nsu_author_330
Kajol Bhowmick,nsu_author_331
Debalina Sikder,nsu_author_332
Rafaeal Hossain Rakin,nsu_author_333
Asad Siam,nsu_author_334
Md. Rafayet Hossain,nsu_author_335
Md. Aowrongajab Uaday,nsu_author_336
Md. Nazmul Islam Shuzan,nsu_author_337
Saffan Shanewaze,nsu_author_338
Rakibol Islam Rakib and Hasan U Zaman,nsu_author_339
Ekra Bin Syed Mojib,nsu_author_340
Md. Nafis Raihan,nsu_author_341
Fahad Bin Alam,nsu_author_342
Md. Mujtabir Alam ; Md. Ashik Amin ; Mahamud Hussain ; Rokibul Hasan Bhuiyan ; Mohammad Monirujjaman Khan,nsu_author_343
Mridul Banik,nsu_author_344
Ismail Hossain,nsu_author_345
Md. Ashraful Alam,nsu_author_346
Md. Yousuf Hossain,nsu_author_347
Amitabha Chakrabarty,nsu_author_348
Mohd. Tahsin Bin Mostafa,nsu_author_349
Shah Md. Tanzim Alam Choudhury,nsu_author_350
Md. Shazzad Hosain,nsu_author_351
Rafiunnisa,nsu_author_352
Arafat Muhammad Shams,nsu_author_353
Mohammad Abu Sayed,nsu_author_354
Nusrat Jahan Prithee,nsu_author_355
Md Al Imran,nsu_author_356
Hossain M. Mahbub and Hasan U. Zaman,nsu_author_357
Nusrat Shams and Hasan U. Zaman,nsu_author_358
Raihanul Haque and Abdur Rahman,nsu_author_359
Khalida Sultana Shuravi,nsu_author_360
Muntasir Kabir Sakib and Mohammad Wasee Sarwar,nsu_author_361
Sanita Rahman,nsu_author_362
Emdadul Haque,nsu_author_363
Mahmudur Rahman and Hasan U. Zaman,nsu_author_364
Md. Waliur Rahman,nsu_author_365
M. Farhanul Ihsan and Hasan U. Zaman,nsu_author_366
Nazmul Islam,nsu_author_367
Rakibul Islam,nsu_author_368
Juwel Rana and Hasan U Zaman,nsu_author_369
T Farah,nsu_author_370
R Shelim,nsu_author_371
M Zaman,nsu_author_372
MM Hassan,nsu_author_373
D Alam,nsu_author_374
Mohammad Abdul Hye,nsu_author_375
Md Manjurul Akter,nsu_author_376
Atiq Mohammad Jahangir and Hasan U. Zaman,nsu_author_377
Kazi Kowshin Raihana,nsu_author_378
Md. Sabbir Hossain,nsu_author_379
Md. Tahsan Dewan,nsu_author_380
