Title,Authors
Bengali Text Document Categorization based on Very Deep Convolution Neural Network,"M. R Hossain, M. M Hoque, N. Siddique"
Authorship Classification in a Resource Constraint Language using Convolutional Neural Networks in IEEE Access,"M, R. Hossain, M. M. Hoque, M. A. A. Dewan, N. Siddique, N. Islam and I. H. Sarker"
BEmoC: A Corpus for Identifying Emotion in Bengali Texts,"A. Iqbal, A. Das, O. Sharif, MM Hoque, and I H Sarker"
Classification of Textual Sentiment Using Ensemble Technique,"M. M. Rahaman, O. Sharif, M. Moshiul Hoque"
Multi-class Textual Emotion Categorization using Ensemble of Convolutional and Recurrent Neural Network,"T. Parvin, O. Sharif, MM Hoque"
A source-driven reinforcement learning-based Data reply strategy to reduce communication overhead in Named Data Networks (NDN),"S. M. Iqbal, Asaduzzaman, M. M. Hoque"
Development of Duplex Eye Contact Framework for Human-Robot Inter Communication,"S. Sharmin, M. M. Hoque, S. M. R. Islam, M F. Kader and I H. Sarker,"
Active Vision-based Attention Monitoring System for Drivers,"L. Alam, M M Hoque, N Siddique"
A Data-Driven Heart Disease Prediction Model Through K-Means Clustering-Based Anomaly Detection,"R. C. Ripan, I. H. Sarker, S. M. M. Hossain, M. M. Anwar, R, Nowrozy, M. M. Hoque & M. H. Furhad"
"Mobile Data Science and Intelligent Apps: Concepts, AI-based Modeling and Research Directions",I. H Sarker and MM Hoque
Detecting Suspicious Texts Using Machine Learning Techniques,"O Sharif, MM Hoque, ASM Kayes, R Nowrozy, IH Sarker"
"“A Text-Based Chat System Embodied with an Expressive Agent,” Advances in Human-Computer Interaction","L. Alam, and M M Hoque"
Fundamental Frequency Extraction of Noisy Speech Signals,"M. A.F.M. R. Hasan, R. Yasmin, D. Das, M. M. Hoque, M. I. Pramanik, and M. S. Rahman"
An Empirical Robotic Framework for Initiating Interaction with the Target Human in Multiparty Settings,"M. M. Hoque, Q. D. Hossian, K. Deb, D. Das, Y. Kobayashi, and Y. Kuno"
Outage Capacity Analysis of a Cooperative Relaying Scheme in Interference Limited Cognitive Radio Networks,"M. F. Kader, Assaduzzaman, M. M. Hoque"
A Proactive Approach of Robotic Framework for Making Eye Contact with Humans,"M. M. Hoque, Y. Kobayashi, and Y. Kuno"
Effect of Robot’s Gaze Behaviors for Attracting and Controlling Human Attention,"M. M. Hoque, T. Onuki, Y. Kobayashi, and Y. Kuno"
Hybrid Spectrum Sharing with Cooprative Secondary User Selection in Cognitive Radio Networks,"M. F. Kader, Assaduzzaman, M. M. Hoque"
A Robotic Framework for Controlling Human’s Attention,M. M. Hoque
Design a Robotic Head to Attract Human Attention by considering viewing situations,"M. M. Hoque, Y. Kobayashi, Y. Kuno, and K. Deb"
An Efficient Framework for Network Intrusion Detection,"M. M. Hoque, A. M. Mahbub"
English to Bangla Statistical Machine Translation using A* Search Algorithm,M. M. Hoque and M. K. Hassan
An Empirical Framework for Parsing of Bangla Natural Language Sentences,M. M. Hoque and M. K. Hassan
An Empirical Framework for Translating of Phrasal Verbs of English Sentence into Bangla,"M. M. Hoque, M. M. Ahammed and M. M. U. Hasan"
Context-free Grammars and Parsing for Simple Sentences of Bangla,"M. M. Hoque, M. S. Arefin and M. S. Kowser"
Structural Operational Semantics of Inheritance and Object creation in JAVA,"M. S. Arefin, M. M. Hoque, M. T. Islam and K. Dev"
Semantic Analysis and Transfer: An Experience with the Bangla Natural Language Sentences,"M. M. Hoque, M. S. Arefin and M. O. Rahman"
"A New Model of Digital Signature Using LSB Hiding, RSA and Merkle-Hellman Cryptosystem","A. N. M. R. Karim, M. G. R. Alam and M. M. Hoque"
An Empirical Framework for Statistical Parsing of Bangla Sentences,"M. M. Hoque, M. O. Faruk, M. M. U. Hasan, M. K. Hassan and M. M. U. Karim"
Developing an Intelligent agent to support negotiation in an electronic market place,"M. S. Arefin, R. Paul, M. M. Hoque and M. A. Sarif"
Impact Analysis of Facebook in Family Bonding,Md. Sarwar Kamal and Mohammad Shamsul Arefin
Developing a Framework for Determining Students Excellence and Recommending Field of Study Under Review,"Md. Osman Goni, Mohammad Shamsul Arefin, and Mohammad Monirul Islam"
Efficiency of NoSQL Databases under a Moderate Application Load,"Mohammad Shamsul Arefin, Khondoker Nazibul Hossain, and Yasuhiko Morimoto"
A Statistical Framework for Detecting Diabetes Types,Linkon Chowdhury and Mohammad Shamsul Arefin
Recommending Hotels by Social Conditions of Locations,"Mohammad Shamsul Arefin, Zhichao Chang, and Yasuhiko Morimoto"
Agent-Based Privacy Aware Feedback System,"Mohammad Shamsul Arefin, Rahma Bintey Mufiz Mukta, and Yasuhiko Morimoto"
A Spatial Skyline Query for a Group of Users,"Mohammad Shamsul Arefin, Geng Ma, and Yasuhiko Morimoto"
Privacy Aware Parallel Computation of Skyline Sets Queries from Distributed Databases,"Mohammad Shamsul Arefin, and Yasuhiko Morimoto"
Skyline Query for Selecting Spatial Objects by Utilizing Surrounding Objects,"Mohammad Shamsul Arefin, Xu Jinhao, Chen Zhiming, and Yasuhiko Morimoto"
BAENPD: A Bilingual Plagiarism Detector,"Mohammad Shamsul Arefin, Yasuhiko Morimoto, and Mohammad Amir Sharif"
Skyline Query for Selecting Spatial Objects by Utilizing Surrounding Objects,"Mohammad Shamsul Arefin, Xu Jinhao, Chen Zhiming, and Yasuhiko Morimoto"
Skyline Sets Queries for Incomplete Data,"Mohammad Shamsul Arefin, and Yasuhiko Morimoto"
Agent-based Anonymous Skyline Set Computation in Cloud Databases,"Y. Morimoto, M. S. Arefin and M. A. Siddique"
Management of Multilingual Contents in Web Environment,M. S. Arefin and Y. Morimoto
Dispersion Control Characteristics of the Dielectric Cylindrical Waveguide And a Novel Approach of Dispersion Compensation,"Nur Mohammad, Md. Asiful Islam, Abdul Khaleque and M. S. Arefin"
Multilingual Data Management in Database Environment,Dr. Abu Sayed Md. Latiful Hoque and Mohammad Shamsul Arefin
Development and Implementation of an Efficient Database Compression Algorithm,"M. S. Arefin, C. Sheel and M. M. Islam"
Semantic Analysis and Transfer: An Experience with the Bangla Natural Language Sentences,"M .M. Hoque, M. S. Arefin and M. O. Rahman"
Developing an Intelligent Agent to Support Negotiation in an Electronic Market Place,"M. S. Arefin, R. Paul, M. M. Hoque and M. A. Sarif"
Structural Operational Semantics of Some Important Properties in Java,M. S. Arefin
Context-free Grammars and Parsing for Simple Sentences of Bangla,"M. M. Hoque, M. S. Arefin and M. S. Kowser"
Structural Operational Semantics of Inheritance and Object creation in JAVA,"M. S. Arefin, M. M. Hoque, M. T. Islam and K. Dev"
Structural Operational Semantics of Calling Methods in Java,M. S. Arefin
Designing a 34-Segment Display for Bengali and English Numerical Digits and Characters,M. S. Arefin
A Framework to Recommend Appropriate Learning Materials from Stack Overflow Discussions,"A. Iqbal,M. S. Arefin,and M. A. A. Dewan"
Wi-Fi Based Real Time Communication for Disaster and Emergencies,"Md. Ashiqur Rahman, Asaduzzaman, Md. Shafiul Alam Forhad"
Adaptive forwarding strategies to reduce redundant Interests and Data in named data networks,Shahid Md. Asif Iqbal and Asaduzzaman
Cooperative Relaying to Improve the Spectrum Utilization of Multi-channel CR Networks,Asaduzzaman and Hyung Yun Kong
"Cognitive Radio MAC Protocols: A Survey, Some Research Issues and Challenges","Mahfuzulhoq Chowdhury, Asaduzzaman, and Md. Fazlul Kader"
